                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.62882,                0.49601,                 0.9962,                0.95011,                0.98042,                0.99343,                 0.9263,                0.42872,                0.25569,                0.87702,              0.0061588,              0.0061588,              0.0061588
                     99,                0.62522,                0.48477,                0.99082,                0.94933,                0.98012,                0.99352,                0.92486,                0.42629,                0.25175,                0.87587,              0.0061192,              0.0061192,              0.0061192
                    100,                0.62441,                 0.4846,                0.99299,                0.94859,                0.98265,                0.99356,                0.92403,                0.42475,                0.25022,                  0.875,              0.0060796,              0.0060796,              0.0060796
                    101,                0.62132,                 0.4862,                0.98906,                0.94889,                0.98318,                0.99355,                0.92464,                0.42284,                 0.2495,                0.87294,                0.00604,                0.00604,                0.00604
                    102,                 0.6224,                0.48079,                0.99031,                0.95088,                0.98354,                0.99374,                0.92723,                0.41994,                0.24707,                0.87184,              0.0060004,              0.0060004,              0.0060004
                    103,                0.61547,                 0.4759,                0.98554,                0.95079,                0.98498,                0.99375,                0.92792,                0.41862,                0.24603,                0.87116,              0.0059608,              0.0059608,              0.0059608
                    104,                0.61376,                0.47893,                0.98798,                  0.951,                0.98396,                0.99383,                0.92944,                0.41763,                0.24619,                0.87063,              0.0059212,              0.0059212,              0.0059212
                    105,                0.61292,                0.47121,                0.98732,                0.95143,                0.98172,                0.99384,                0.92943,                0.41324,                0.24517,                0.86849,              0.0058816,              0.0058816,              0.0058816
                    106,                0.61124,                0.47515,                 0.9863,                0.95041,                0.98437,                0.99396,                0.93153,                0.40906,                0.24147,                 0.8679,               0.005842,               0.005842,               0.005842
                    107,                0.61069,                0.47642,                0.98643,                0.94962,                0.98555,                0.99391,                0.93556,                  0.408,                0.24018,                0.86677,              0.0058024,              0.0058024,              0.0058024
                    108,                0.60549,                0.46462,                0.98685,                0.95033,                0.98663,                0.99384,                0.93411,                0.40795,                0.24099,                0.86569,              0.0057628,              0.0057628,              0.0057628
                    109,                0.60935,                0.47356,                0.98469,                0.94934,                0.98502,                0.99389,                0.93284,                0.40615,                0.24075,                0.86508,              0.0057232,              0.0057232,              0.0057232
                    110,                0.60815,                0.46689,                0.98585,                0.95019,                 0.9819,                0.99399,                 0.9338,                0.40385,                0.23966,                0.86322,              0.0056836,              0.0056836,              0.0056836
                    111,                0.59964,                 0.4588,                0.98339,                 0.9513,                0.98211,                0.99391,                0.93536,                0.40324,                0.23827,                0.86226,               0.005644,               0.005644,               0.005644
                    112,                0.60187,                0.46157,                 0.9812,                0.95229,                0.98323,                0.99395,                0.93397,                0.40284,                0.23688,                0.86197,              0.0056044,              0.0056044,              0.0056044
                    113,                0.60122,                0.46186,                0.98066,                0.95106,                0.98441,                0.99393,                0.93648,                0.40047,                0.23532,                0.86105,              0.0055648,              0.0055648,              0.0055648
                    114,                0.60504,                0.45682,                0.98382,                0.95114,                0.98483,                0.99383,                0.93798,                0.39906,                0.23497,                0.85968,              0.0055252,              0.0055252,              0.0055252
                    115,                0.59973,                0.45541,                0.98221,                 0.9516,                0.98497,                0.99371,                0.93474,                 0.3977,                0.23349,                0.85863,              0.0054856,              0.0054856,              0.0054856
                    116,                0.59637,                0.45653,                 0.9825,                0.95165,                0.98517,                0.99368,                0.93529,                0.39711,                0.23425,                0.85813,               0.005446,               0.005446,               0.005446
                    117,                0.60009,                0.45541,                0.98031,                0.95113,                0.98494,                0.99375,                 0.9367,                0.39541,                0.23281,                0.85717,              0.0054064,              0.0054064,              0.0054064
                    118,                0.59681,                0.45132,                0.97777,                0.95083,                0.98621,                0.99375,                0.93815,                 0.3932,                0.23059,                0.85598,              0.0053668,              0.0053668,              0.0053668
                    119,                0.59758,                0.45575,                0.97691,                0.95109,                 0.9861,                0.99378,                0.93762,                0.39198,                0.22926,                0.85527,              0.0053272,              0.0053272,              0.0053272
                    120,                0.59634,                0.44902,                 0.9809,                0.95101,                0.98644,                0.99381,                0.93803,                0.39054,                0.22879,                0.85431,              0.0052876,              0.0052876,              0.0052876
                    121,                0.58818,                0.44777,                0.97746,                 0.9504,                0.98606,                0.99385,                0.93688,                0.39005,                0.22868,                0.85411,               0.005248,               0.005248,               0.005248
                    122,                0.59104,                0.45003,                0.97423,                0.94993,                0.98673,                0.99389,                0.93693,                0.38967,                0.22706,                0.85319,              0.0052084,              0.0052084,              0.0052084
                    123,                0.59414,                0.44473,                0.97765,                 0.9504,                0.98711,                0.99397,                0.93764,                0.38855,                0.22508,                0.85267,              0.0051688,              0.0051688,              0.0051688
